ts,task,config,model,rep,passed,steps,tokens,wall_s,log
1788193899,fix-add,full,deepseek,1,1,4,8113,6.3,fix-add-full-deepseek-r1.jsonl
1788193905,fix-add,full,deepseek,2,1,4,8055,5.9,fix-add-full-deepseek-r2.jsonl
1788193911,fix-add,full,deepseek,3,1,5,10026,6.8,fix-add-full-deepseek-r3.jsonl
1788193918,fizzbuzz-arg,full,deepseek,1,1,5,11851,10.7,fizzbuzz-arg-full-deepseek-r1.jsonl
1788193928,fizzbuzz-arg,full,deepseek,2,1,4,9259,9.9,fizzbuzz-arg-full-deepseek-r2.jsonl
1788193938,fizzbuzz-arg,full,deepseek,3,1,5,11207,9.0,fizzbuzz-arg-full-deepseek-r3.jsonl
1788193947,debug-crash,full,deepseek,1,1,4,8219,6.6,debug-crash-full-deepseek-r1.jsonl
1788193954,debug-crash,full,deepseek,2,1,4,8249,6.3,debug-crash-full-deepseek-r2.jsonl
1788193960,debug-crash,full,deepseek,3,1,4,8060,6.1,debug-crash-full-deepseek-r3.jsonl
1788193966,fix-mean,full,deepseek,1,1,5,10374,6.3,fix-mean-full-deepseek-r1.jsonl
1788193973,fix-mean,full,deepseek,2,1,5,10321,6.9,fix-mean-full-deepseek-r2.jsonl
1788193980,fix-mean,full,deepseek,3,1,5,10491,7.1,fix-mean-full-deepseek-r3.jsonl
1788193987,rename-across-files,full,deepseek,1,1,5,10589,7.7,rename-across-files-full-deepseek-r1.jsonl
1788193994,rename-across-files,full,deepseek,2,1,5,10545,6.8,rename-across-files-full-deepseek-r2.jsonl
1788194001,rename-across-files,full,deepseek,3,1,5,10551,7.5,rename-across-files-full-deepseek-r3.jsonl
1788194009,write-todo-cli,full,deepseek,1,1,6,17783,17.9,write-todo-cli-full-deepseek-r1.jsonl
1788194027,write-todo-cli,full,deepseek,2,1,5,12349,11.5,write-todo-cli-full-deepseek-r2.jsonl
1788194038,write-todo-cli,full,deepseek,3,1,4,9919,11.4,write-todo-cli-full-deepseek-r3.jsonl
1788194050,fix-sort,full,deepseek,1,1,4,9985,10.9,fix-sort-full-deepseek-r1.jsonl
1788194061,fix-sort,full,deepseek,2,1,4,9369,8.1,fix-sort-full-deepseek-r2.jsonl
1788194069,fix-sort,full,deepseek,3,1,4,8810,8.1,fix-sort-full-deepseek-r3.jsonl
1788194077,add-logging,full,deepseek,1,1,5,10592,8.1,add-logging-full-deepseek-r1.jsonl
1788194085,add-logging,full,deepseek,2,1,4,8167,7.3,add-logging-full-deepseek-r2.jsonl
1788194093,add-logging,full,deepseek,3,1,4,9159,8.1,add-logging-full-deepseek-r3.jsonl
1788194101,fix-add,mini,deepseek,1,1,5,6684,9.7,fix-add-mini-deepseek-r1.jsonl
1788194110,fix-add,mini,deepseek,2,1,3,2992,5.0,fix-add-mini-deepseek-r2.jsonl
1788194116,fix-add,mini,deepseek,3,1,3,3114,5.4,fix-add-mini-deepseek-r3.jsonl
1788194121,fizzbuzz-arg,mini,deepseek,1,1,4,4549,7.2,fizzbuzz-arg-mini-deepseek-r1.jsonl
1788194128,fizzbuzz-arg,mini,deepseek,2,1,4,5475,9.5,fizzbuzz-arg-mini-deepseek-r2.jsonl
1788194138,fizzbuzz-arg,mini,deepseek,3,1,4,4980,8.4,fizzbuzz-arg-mini-deepseek-r3.jsonl
1788194146,debug-crash,mini,deepseek,1,1,3,3176,5.6,debug-crash-mini-deepseek-r1.jsonl
1788194152,debug-crash,mini,deepseek,2,1,3,2911,5.2,debug-crash-mini-deepseek-r2.jsonl
1788194157,debug-crash,mini,deepseek,3,1,3,3018,5.4,debug-crash-mini-deepseek-r3.jsonl
1788194162,fix-mean,mini,deepseek,1,1,4,4384,6.9,fix-mean-mini-deepseek-r1.jsonl
1788194169,fix-mean,mini,deepseek,2,1,4,4856,7.3,fix-mean-mini-deepseek-r2.jsonl
1788194177,fix-mean,mini,deepseek,3,1,4,5339,8.1,fix-mean-mini-deepseek-r3.jsonl
1788194185,rename-across-files,mini,deepseek,1,1,4,4915,7.2,rename-across-files-mini-deepseek-r1.jsonl
1788194192,rename-across-files,mini,deepseek,2,1,3,2960,4.5,rename-across-files-mini-deepseek-r2.jsonl
1788194196,rename-across-files,mini,deepseek,3,1,4,4776,7.1,rename-across-files-mini-deepseek-r3.jsonl
1788194204,write-todo-cli,mini,deepseek,1,1,4,11125,21.7,write-todo-cli-mini-deepseek-r1.jsonl
1788194225,write-todo-cli,mini,deepseek,2,1,4,5740,9.4,write-todo-cli-mini-deepseek-r2.jsonl
1788194235,write-todo-cli,mini,deepseek,3,1,5,11039,23.4,write-todo-cli-mini-deepseek-r3.jsonl
1788194258,fix-sort,mini,deepseek,1,1,6,11480,15.6,fix-sort-mini-deepseek-r1.jsonl
1788194274,fix-sort,mini,deepseek,2,1,5,8118,11.3,fix-sort-mini-deepseek-r2.jsonl
1788194285,fix-sort,mini,deepseek,3,1,5,8126,13.8,fix-sort-mini-deepseek-r3.jsonl
1788194299,add-logging,mini,deepseek,1,1,5,6473,10.1,add-logging-mini-deepseek-r1.jsonl
1788194309,add-logging,mini,deepseek,2,1,4,4911,8.0,add-logging-mini-deepseek-r2.jsonl
1788194317,add-logging,mini,deepseek,3,1,4,7120,13.3,add-logging-mini-deepseek-r3.jsonl
1788194331,fix-add,nodigest,deepseek,1,1,5,9394,7.2,fix-add-nodigest-deepseek-r1.jsonl
1788194338,fix-add,nodigest,deepseek,2,1,4,7571,6.3,fix-add-nodigest-deepseek-r2.jsonl
1788194344,fix-add,nodigest,deepseek,3,1,5,9512,7.3,fix-add-nodigest-deepseek-r3.jsonl
1788194352,fizzbuzz-arg,nodigest,deepseek,1,1,5,11470,10.3,fizzbuzz-arg-nodigest-deepseek-r1.jsonl
1788194362,fizzbuzz-arg,nodigest,deepseek,2,1,4,8043,7.1,fizzbuzz-arg-nodigest-deepseek-r2.jsonl
1788194369,fizzbuzz-arg,nodigest,deepseek,3,1,4,8436,8.3,fizzbuzz-arg-nodigest-deepseek-r3.jsonl
1788194378,debug-crash,nodigest,deepseek,1,1,4,7517,6.5,debug-crash-nodigest-deepseek-r1.jsonl
1788194384,debug-crash,nodigest,deepseek,2,1,4,7590,6.4,debug-crash-nodigest-deepseek-r2.jsonl
1788194390,debug-crash,nodigest,deepseek,3,1,4,7560,6.3,debug-crash-nodigest-deepseek-r3.jsonl
1788194397,fix-mean,nodigest,deepseek,1,1,5,9853,7.2,fix-mean-nodigest-deepseek-r1.jsonl
1788194404,fix-mean,nodigest,deepseek,2,1,5,9827,7.1,fix-mean-nodigest-deepseek-r2.jsonl
1788194411,fix-mean,nodigest,deepseek,3,1,6,12137,8.4,fix-mean-nodigest-deepseek-r3.jsonl
1788194419,rename-across-files,nodigest,deepseek,1,1,5,10007,7.3,rename-across-files-nodigest-deepseek-r1.jsonl
1788194427,rename-across-files,nodigest,deepseek,2,1,5,9988,8.3,rename-across-files-nodigest-deepseek-r2.jsonl
1788194435,rename-across-files,nodigest,deepseek,3,1,5,10137,7.4,rename-across-files-nodigest-deepseek-r3.jsonl
1788194443,write-todo-cli,nodigest,deepseek,1,1,6,16708,15.7,write-todo-cli-nodigest-deepseek-r1.jsonl
